Q1.1, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1006/paper2.pdf, AffiliationEntry
Q6.36, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1559/paper07.pdf, DocumentComponentEntry
Q6.37, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1560/paper2.pdf, DocumentComponentEntry
Q6.38, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1565/bmaw2015_paper4.pdf, DocumentComponentEntry
Q6.39, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1565/bmaw2015_paper8.pdf, DocumentComponentEntry
Q6.40, Identify the captions of the figures in the paper http://ceur-ws.org/Vol-1567/paper2.pdf, DocumentComponentEntry
Q7.1, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1006/paper2.pdf (or part of it), FundingAgencyEntry
Q7.2, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1044/paper-01.pdf (or part of it), FundingAgencyEntry
Q7.3, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1116/paper1.pdf (or part of it), FundingAgencyEntry
Q7.4, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1116/paper6.pdf (or part of it), FundingAgencyEntry
Q7.5, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_02.pdf (or part of it), FundingAgencyEntry
Q7.6, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1215/paper-05.pdf (or part of it), FundingAgencyEntry
Q7.7, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1303/paper_4.pdf (or part of it), FundingAgencyEntry
Q7.8, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1313/paper_11.pdf (or part of it), FundingAgencyEntry
Q7.9, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1313/paper_13.pdf (or part of it), FundingAgencyEntry
Q7.10, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1313/paper_14.pdf (or part of it), FundingAgencyEntry
Q7.11, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1313/paper_4.pdf (or part of it), FundingAgencyEntry
Q7.12, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1315/paper15.pdf (or part of it), FundingAgencyEntry
Q7.13, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1315/paper3.pdf (or part of it), FundingAgencyEntry
Q7.14, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1315/paper8.pdf (or part of it), FundingAgencyEntry
Q7.15, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1317/om2014_Tpaper5.pdf (or part of it), FundingAgencyEntry
Q7.16, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1317/om2014_poster3.pdf (or part of it), FundingAgencyEntry
Q7.17, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1317/om2014_poster4.pdf (or part of it), FundingAgencyEntry
Q7.18, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1317/om2014_poster8.pdf (or part of it), FundingAgencyEntry
Q7.19, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1319/morse14_paper_04.pdf (or part of it), FundingAgencyEntry
Q7.20, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1320/paper_25.pdf (or part of it), FundingAgencyEntry
Q7.21, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1405/paper-02.pdf (or part of it), FundingAgencyEntry
Q7.22, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1405/paper-03.pdf (or part of it), FundingAgencyEntry
Q7.23, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1405/paper-04.pdf (or part of it), FundingAgencyEntry
Q7.24, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1405/paper-07.pdf (or part of it), FundingAgencyEntry
Q7.25, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1504/uai2015aci_abstract2.pdf (or part of it), FundingAgencyEntry
Q7.26, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1531/paper2.pdf (or part of it), FundingAgencyEntry
Q7.27, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1531/paper4.pdf (or part of it), FundingAgencyEntry
Q7.28, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1531/paper8.pdf (or part of it), FundingAgencyEntry
Q7.29, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1554/PD_MoDELS_2015_paper_3.pdf (or part of it), FundingAgencyEntry
Q7.30, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1554/PD_MoDELS_2015_paper_5.pdf (or part of it), FundingAgencyEntry
Q7.31, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1554/PD_MoDELS_2015_paper_6.pdf (or part of it), FundingAgencyEntry
Q7.32, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1558/paper5.pdf (or part of it), FundingAgencyEntry
Q7.33, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1558/paper9.pdf (or part of it), FundingAgencyEntry
Q7.34, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1559/paper04.pdf (or part of it), FundingAgencyEntry
Q7.35, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1559/paper05.pdf (or part of it), FundingAgencyEntry
Q7.36, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1559/paper07.pdf (or part of it), FundingAgencyEntry
Q7.37, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1560/paper2.pdf (or part of it), FundingAgencyEntry
Q7.38, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1565/bmaw2015_paper4.pdf (or part of it), FundingAgencyEntry
Q7.39, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1565/bmaw2015_paper8.pdf (or part of it), FundingAgencyEntry
Q7.40, Identify the funding agencies that supported the research presented in the paper http://ceur-ws.org/Vol-1567/paper2.pdf (or part of it), FundingAgencyEntry
Q8.1, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1006/paper2.pdf (or part of it), ProjectEntry
Q8.2, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1044/paper-01.pdf (or part of it), ProjectEntry
Q8.3, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1116/paper1.pdf (or part of it), ProjectEntry
Q8.4, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1116/paper6.pdf (or part of it), ProjectEntry
Q8.5, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_02.pdf (or part of it), ProjectEntry
Q8.6, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1215/paper-05.pdf (or part of it), ProjectEntry
Q8.7, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1303/paper_4.pdf (or part of it), ProjectEntry
Q8.8, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1313/paper_11.pdf (or part of it), ProjectEntry
Q8.9, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1313/paper_13.pdf (or part of it), ProjectEntry
Q8.10, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1313/paper_14.pdf (or part of it), ProjectEntry
Q8.11, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1313/paper_4.pdf (or part of it), ProjectEntry
Q8.12, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1315/paper15.pdf (or part of it), ProjectEntry
Q8.13, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1315/paper3.pdf (or part of it), ProjectEntry
Q8.14, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1315/paper8.pdf (or part of it), ProjectEntry
Q8.15, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1317/om2014_Tpaper5.pdf (or part of it), ProjectEntry
Q8.16, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1317/om2014_poster3.pdf (or part of it), ProjectEntry
Q8.17, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1317/om2014_poster4.pdf (or part of it), ProjectEntry
Q8.18, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1317/om2014_poster8.pdf (or part of it), ProjectEntry
Q8.19, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1319/morse14_paper_04.pdf (or part of it), ProjectEntry
Q8.20, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1320/paper_25.pdf (or part of it), ProjectEntry
Q8.21, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1405/paper-02.pdf (or part of it), ProjectEntry
Q8.22, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1405/paper-03.pdf (or part of it), ProjectEntry
Q8.23, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1405/paper-04.pdf (or part of it), ProjectEntry
Q8.24, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1405/paper-07.pdf (or part of it), ProjectEntry
Q8.25, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1504/uai2015aci_abstract2.pdf (or part of it), ProjectEntry
Q8.26, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1531/paper2.pdf (or part of it), ProjectEntry
Q8.27, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1531/paper4.pdf (or part of it), ProjectEntry
Q8.28, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1531/paper8.pdf (or part of it), ProjectEntry
Q8.29, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1554/PD_MoDELS_2015_paper_3.pdf (or part of it), ProjectEntry
Q8.30, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1554/PD_MoDELS_2015_paper_5.pdf (or part of it), ProjectEntry
Q8.31, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1554/PD_MoDELS_2015_paper_6.pdf (or part of it), ProjectEntry
Q8.32, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1558/paper5.pdf (or part of it), ProjectEntry
Q8.33, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1558/paper9.pdf (or part of it), ProjectEntry
Q8.34, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1559/paper04.pdf (or part of it), ProjectEntry
Q8.35, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1559/paper05.pdf (or part of it), ProjectEntry
Q8.36, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1559/paper07.pdf (or part of it), ProjectEntry
Q8.37, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1560/paper2.pdf (or part of it), ProjectEntry
Q8.38, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1565/bmaw2015_paper4.pdf (or part of it), ProjectEntry
Q8.39, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1565/bmaw2015_paper8.pdf (or part of it), ProjectEntry
Q8.40, Identify the EU project(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1567/paper2.pdf (or part of it), ProjectEntry
